system:index,area_ha,area_m2,from_class_code,from_class_name,to_class_code,to_class_name,transition_code,.geo
0,20279.941621569826,2.0279941621569824E8,1.0,Tree cover,1,Tree cover,101,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.694850268554687,96948.50268554688,1.0,Tree cover,2,Shrubland,102,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,17.25257915649414,172525.7915649414,1.0,Tree cover,3,Grassland,103,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,16.541862298583986,165418.62298583984,1.0,Tree cover,4,Cropland,104,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.867913836669922,18679.13836669922,1.0,Tree cover,5,Built-up,105,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9781565856933594,9781.565856933594,1.0,Tree cover,6,Bare / sparse vegetation,106,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,17.610524591064454,176105.24591064453,2.0,Shrubland,1,Tree cover,201,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,10038.56618996582,1.003856618996582E8,2.0,Shrubland,2,Shrubland,202,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.1129104553222655,31129.104553222656,2.0,Shrubland,3,Grassland,203,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.024059521484375,30240.59521484375,2.0,Shrubland,4,Cropland,204,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.7789283264160156,17789.283264160156,2.0,Shrubland,5,Built-up,205,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.6225745727539063,6225.7457275390625,2.0,Shrubland,6,Bare / sparse vegetation,206,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,171.64238834838866,1716423.8834838867,3.0,Grassland,1,Tree cover,301,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,44.56108146362305,445610.81463623047,3.0,Grassland,2,Shrubland,302,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,16286.070085681153,1.6286070085681152E8,3.0,Grassland,3,Grassland,303,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,26.682279913330078,266822.7991333008,3.0,Grassland,4,Cropland,304,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,18.411032482910155,184110.32482910156,3.0,Grassland,5,Built-up,305,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,57.269047900390625,572690.4790039062,3.0,Grassland,6,Bare / sparse vegetation,306,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.08892092895507812,889.2092895507812,3.0,Grassland,8,Permanent water bodies,308,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,9.427216198730468,94272.16198730469,3.0,Grassland,9,Herbaceous wetland,309,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,14.051997552490235,140519.97552490234,4.0,Cropland,1,Tree cover,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.625444573974609,46254.445739746094,4.0,Cropland,2,Shrubland,402,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,17.698735998535156,176987.35998535156,4.0,Cropland,3,Grassland,403,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,9112.667348986817,9.112667348986816E7,4.0,Cropland,4,Cropland,404,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,49.6250032409668,496250.03240966797,4.0,Cropland,5,Built-up,405,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,18.230056451416015,182300.56451416016,4.0,Cropland,6,Bare / sparse vegetation,406,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.08893873291015625,889.3873291015625,4.0,Cropland,8,Permanent water bodies,408,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,5.780667565917969,57806.67565917969,4.0,Cropland,9,Herbaceous wetland,409,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,25.612579705810546,256125.79705810547,5.0,Built-up,1,Tree cover,501,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,18.67670873413086,186767.0873413086,5.0,Built-up,2,Shrubland,502,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,14.584678002929687,145846.78002929688,5.0,Built-up,3,Grassland,503,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,5.691835931396485,56918.359313964844,5.0,Built-up,4,Cropland,504,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1907.7611474731445,1.9077611474731445E7,5.0,Built-up,5,Built-up,505,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,11.116371990966798,111163.71990966797,5.0,Built-up,6,Bare / sparse vegetation,506,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,7.292430584716797,72924.30584716797,6.0,Bare / sparse vegetation,1,Tree cover,601,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,5.336323803710937,53363.238037109375,6.0,Bare / sparse vegetation,2,Shrubland,602,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,6.758313317871094,67583.13317871094,6.0,Bare / sparse vegetation,3,Grassland,603,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,4.712885070800781,47128.85070800781,6.0,Bare / sparse vegetation,4,Cropland,604,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1.6896579956054687,16896.579956054688,6.0,Bare / sparse vegetation,5,Built-up,605,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1381.6473203857422,1.3816473203857422E7,6.0,Bare / sparse vegetation,6,Bare / sparse vegetation,606,"{""type"":""MultiPoint"",""coordinates"":[]}"
