system:index,area_ha,area_m2,from_class_code,from_class_name,to_class_code,to_class_name,transition_code,.geo
0,20814.04473157959,2.081404473157959E8,1.0,Tree cover,1,Tree cover,101,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0673698303222656,10673.698303222656,1.0,Tree cover,2,Shrubland,102,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,23.922408990478516,239224.08990478516,1.0,Tree cover,3,Grassland,103,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,18.67597974243164,186759.7974243164,1.0,Tree cover,4,Cropland,104,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.2452230834960938,12452.230834960938,1.0,Tree cover,5,Built-up,105,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.35576071166992185,3557.6071166992188,1.0,Tree cover,8,Permanent water bodies,108,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.4446366455078125,4446.366455078125,1.0,Tree cover,9,Herbaceous wetland,109,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,12.274439038085937,122744.39038085938,2.0,Shrubland,1,Tree cover,201,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3209.40528236084,3.20940528236084E7,2.0,Shrubland,2,Shrubland,202,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.5792507568359375,25792.507568359375,2.0,Shrubland,3,Grassland,203,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.156192108154297,11561.921081542969,2.0,Shrubland,4,Cropland,204,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.2452523864746095,12452.523864746094,2.0,Shrubland,5,Built-up,205,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.08893233032226562,889.3233032226562,2.0,Shrubland,9,Herbaceous wetland,209,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,203.39508670043946,2033950.8670043945,3.0,Grassland,1,Tree cover,301,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,16.899900158691405,168999.00158691406,3.0,Grassland,2,Shrubland,302,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,24450.724381115724,2.4450724381115723E8,3.0,Grassland,3,Grassland,303,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,46.15979724121094,461597.9724121094,3.0,Grassland,4,Cropland,304,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,51.84924876098633,518492.4876098633,3.0,Grassland,5,Built-up,305,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.602228491210938,56022.284912109375,3.0,Grassland,6,Bare / sparse vegetation,306,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.35579800415039065,3557.9800415039062,3.0,Grassland,8,Permanent water bodies,308,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,11.561524688720704,115615.24688720703,3.0,Grassland,9,Herbaceous wetland,309,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,11.117118682861328,111171.18682861328,4.0,Cropland,1,Tree cover,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.8895448303222656,8895.448303222656,4.0,Cropland,2,Shrubland,402,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,8.627387579345703,86273.87579345703,4.0,Cropland,3,Grassland,403,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,8721.503963153076,8.721503963153076E7,4.0,Cropland,4,Cropland,404,"{""type"":""MultiPoint"",""coordinates"":[]}"
