system:index,loss_area_sq_m,year,.geo
0,6225.573974609375,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,14229.355773925781,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,31173.829311475565,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,26679.470275878906,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,32905.061767578125,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,64918.35968017578,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9782.92626953125,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9781.949157714844,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,56028.79473876953,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,24900.412841796875,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,35571.075622558594,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,32906.89129638672,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,14229.144348144531,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,30236.808471679688,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,16895.606506347656,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,22233.723571777344,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,48911.251892089844,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6225.761474609375,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9782.148010253906,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,32905.56066894531,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,14229.921630859375,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,123396.75559369256,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
