fid,Name,description,LC2024_1
1,# 100. Bush Burning,Burnt up for grazing,3
2,# 101. Burnt/Degraded Area,"Vast areas completely burnt for grazing. Void of trees, not even one",3
3,# 102. Bareland,,3
4,# 103.  Burnt Area,Vast area of over 10 hectares void of any trees,3
5,# 104. Three Monkeys,We saw three monkeys running into the riparian Forest,3
6,# 105.  Burnt Area for Grazing,,3
7,# 106. Thick Riparian Forest,"Forest with tall trees, water source etc.",3
8,# 107. River,A drinking water source for herder Community,1
9,# 108. Herder Settlement,,3
10,# 109. Grassland,Smaller trees. Good for Restoration,3
11,# 110.  Bush fire,Burnt for grazing,3
12,# 111.  Degraded Area,Void of any trees,3
13,# 112. Rocky and Stony Area,,3
14,# 113. Bareland with few trees,,3
15,# 114. Fenced Area,Fence by herders to prevent intrusion into the Mountain ⛰,3
16,# 115.  Natural Regenerating Area,,3
17,# 116. Bush burning,,3
18,# 117.  Huge rock Deposit,,3
19,# 118.  Bareland Area,,6
20,# 119. Bareland area,Traces of cattle presence,3
21,# 120. Grassland,Void of any trees,3
22,# 121. Scrubland,,3
23,# 122. Natural Regeneration,Small trees growing at close range,1
24,# 123.  Access Road,,1
25,# 124. Riparian Forest with a small river,,1
27,# 126. Bush burning,,1
28,# 127.  Thick Riparian Forest with deep gully,Has tall and large trees with a large deep gully,1
29,# 128. Natural Regeneration,New Growth,1
30,# 129.  Flowing Stream,Large stream with small fish species,3
31,"# 130. Burnt Area, Bare",,3
32,# 131. Njankieh River,Few trees around but adjacent areas are burnt and depleted,3
33,# 132. Bush burning,,3
34,# 133.  Flowing stream,Creepy trees around,3
35,# 134. Bush burning,,3
36,# 135. Bareland,,3
37,# 136. Bareland,,3
38,# 137.  Bush burning,,3
39,# 138.  Bush burning,,3
40,# 139.  Riparian Forest,Chankieh River with tree and birds,3
41,# 140. Bush fire,,3
42,# 141. Vast farmland/Wetland,,4
43,# 142.  Thick forest,,3
44,# 143.  Farmlands,,3
45,# 144 . Koumbam,The Chief's Palace,2
46,# 145. Koumbam Sanyere,,3
47,# 146. Herder Community,,5
48,# 147.  Herder Settlement,,2
49,# 148. Bush burning,,3
50,# 149.  Natural Regeneration,,1
51,# 150.  Direct Sight of 4 monkeys,A group of several monkeys seeing running through the forest,1
52,# 151.  Thick Riparian Forest,Sound of many birds heard,2
53,# 152.  Ra'angeh River,"For bathing, drinking etc",3
54,# 153. Thick Forest,S,1
55,# 154. Bumeh,Uses for the treatment of philaria,1
56,# 155. Bitter Stick,Used for treatment of stomach broblems and pile,1
57,# 156. Medicinal Plant: Bakureg,Used for the treatment of cholera,3
58,# 157.  Sugar Stick: Medicinal Plant,Used to treat erectile dysfunction,1
59,# 158.  Mahogany Trees,Several Mahogany Species distrusted here,3
60,# 159. Medicinal Plant: Perkih,Used for the treatment of Diarrhea and menstrual challenges,1
61,# 160.  Bush Fire,Burnt area for grazing,3
62,# 161. Club Trees,,3
63,# 162. Dropping of Bush Dogs,,1
64,# 163. Bareland,,3
65,# 164.  Huge rock deposit,,3
66,# 165.  Bareland,,3
67,# 166. Grassland Area,,3
68,# 167.  Grassland,,3
69,# 168.  Settlement,,4
71,# 170. Huge rock,,3
72,# 171. Grassland,,3
73,# 172.  Abandoned Settlement,Resident displaced due to intrusion by Ambazonia forces from North West Cameroon,5
74,# 173.  Bush burning,Close to riparian Forest,1
75,# 174.  Riparian Forest,,1
76,# 175.  Shrub Land,,3
77,# 176. Colonized Beehives,,3
78,# 177. Grassland,,3
79,# 178.  Bush burning,,1
80,# 179.  Bush burning,,1
81,# 180.  Medicinal Plant,Used for menstrual challenges,1
82,# 181. Bush burning,,3
83,# 182. Large trees,Amidst bush burning,1
84,# 183. Grassland,,3
85,# 184. Shrubs,,1
86,# 185. Grassland,"Surrounded by patches of riparian forests. Grassland planted in the 1980s by herders, with seeds from Westerners",3
87,# 187.  Direct Sight of Rabbit,,3
88,# 188.  Huge rock deposit,,3
89,# 189.  Huge rock deposit,,3
90,# 190. Grassland,,3
91,# 191.  Sparsed Forest,,1
92,# 192. Shrubs,,1
93,# 193. Bush burning,,1
94,# 194.  Bush burning,,3
95,# 195.  Grassland,Artificial,3
96,# 196.  Bareland,,3
97,# 197.  Bareland with few shrubs,,6
98,# 198. Herder Community,Koumbam Sanyere 2,3
99,# 200. Bareland,,3
100,# 201.  Burnt and Deforested,Good for Restoration actions,1
101,# 202.  Bantai: Medicinal plant,Used for Typhoid,2
102,# 203. Large gully,,5
103,# 204. Chiankeh River,"Used for car washing, cleaning, fishing and irrigation",5
104,# 205.  Nsam River,"Used for traditional cleansing, domestic purposes and irrigation",4
105,# 206. Riparian Forest,,2
106,# 207.  Movuishi Sacred River,The traditional ruler is washed there for power during enthronement,2
107,# 208.  Bareland,,3
