fid,Name,description
1,# 100. Bush Burning,Burnt up for grazing
2,# 101. Burnt/Degraded Area,"Vast areas completely burnt for grazing. Void of trees, not even one"
3,# 102. Bareland,
4,# 103.  Burnt Area,Vast area of over 10 hectares void of any trees
5,# 104. Three Monkeys,We saw three monkeys running into the riparian Forest
6,# 105.  Burnt Area for Grazing,
7,# 106. Thick Riparian Forest,"Forest with tall trees, water source etc."
8,# 107. River,A drinking water source for herder Community
9,# 108. Herder Settlement,
10,# 109. Grassland,Smaller trees. Good for Restoration
11,# 110.  Bush fire,Burnt for grazing
12,# 111.  Degraded Area,Void of any trees
13,# 112. Rocky and Stony Area,
14,# 113. Bareland with few trees,
15,# 114. Fenced Area,Fence by herders to prevent intrusion into the Mountain ⛰
16,# 115.  Natural Regenerating Area,
17,# 116. Bush burning,
18,# 117.  Huge rock Deposit,
19,# 118.  Bareland Area,
20,# 119. Bareland area,Traces of cattle presence
21,# 120. Grassland,Void of any trees
22,# 121. Scrubland,
23,# 122. Natural Regeneration,Small trees growing at close range
24,# 123.  Access Road,
25,# 124. Riparian Forest with a small river,
27,# 126. Bush burning,
28,# 127.  Thick Riparian Forest with deep gully,Has tall and large trees with a large deep gully
29,# 128. Natural Regeneration,New Growth
30,# 129.  Flowing Stream,Large stream with small fish species
31,"# 130. Burnt Area, Bare",
32,# 131. Njankieh River,Few trees around but adjacent areas are burnt and depleted
33,# 132. Bush burning,
34,# 133.  Flowing stream,Creepy trees around
35,# 134. Bush burning,
36,# 135. Bareland,
37,# 136. Bareland,
38,# 137.  Bush burning,
39,# 138.  Bush burning,
40,# 139.  Riparian Forest,Chankieh River with tree and birds
41,# 140. Bush fire,
42,# 141. Vast farmland/Wetland,
43,# 142.  Thick forest,
44,# 143.  Farmlands,
45,# 144 . Koumbam,The Chief's Palace
46,# 145. Koumbam Sanyere,
47,# 146. Herder Community,
48,# 147.  Herder Settlement,
49,# 148. Bush burning,
50,# 149.  Natural Regeneration,
51,# 150.  Direct Sight of 4 monkeys,A group of several monkeys seeing running through the forest
52,# 151.  Thick Riparian Forest,Sound of many birds heard
53,# 152.  Ra'angeh River,"For bathing, drinking etc"
54,# 153. Thick Forest,S
55,# 154. Bumeh,Uses for the treatment of philaria
56,# 155. Bitter Stick,Used for treatment of stomach broblems and pile
57,# 156. Medicinal Plant: Bakureg,Used for the treatment of cholera
58,# 157.  Sugar Stick: Medicinal Plant,Used to treat erectile dysfunction
59,# 158.  Mahogany Trees,Several Mahogany Species distrusted here
60,# 159. Medicinal Plant: Perkih,Used for the treatment of Diarrhea and menstrual challenges
61,# 160.  Bush Fire,Burnt area for grazing
62,# 161. Club Trees,
63,# 162. Dropping of Bush Dogs,
64,# 163. Bareland,
65,# 164.  Huge rock deposit,
66,# 165.  Bareland,
67,# 166. Grassland Area,
68,# 167.  Grassland,
69,# 168.  Settlement,
71,# 170. Huge rock,
72,# 171. Grassland,
